MoleculeType,Identifier,MoleculeName
Proteins,P68431,UniProt:P68431 H3C1
Proteins,Q71DI3,UniProt:Q71DI3 H3C15
Proteins,Q16270,UniProt:Q16270 IGFBP7
Proteins,P05231,UniProt:P05231 IL6
Proteins,P19838,UniProt:P19838 NFKB1
Proteins,Q04206,UniProt:Q04206 RELA
Proteins,O95231,UniProt:O95231 VENTX
Proteins,P40763,UniProt:P40763 STAT3
Proteins,P01583,UniProt:P01583 IL1A
Proteins,P10145,UniProt:P10145 CXCL8
Proteins,O75530,UniProt:O75530 EED
Proteins,Q15910,UniProt:Q15910 EZH2
Proteins,P46734,UniProt:P46734 MAP2K3
Proteins,P52564,UniProt:P52564 MAP2K6
Proteins,Q9UKE5,UniProt:Q9UKE5 TNIK
Proteins,O95819,UniProt:O95819 MAP4K4
Proteins,Q8N4C8,UniProt:Q8N4C8 MINK1
Proteins,O15054,UniProt:O15054 KDM6B
Proteins,P01574,UniProt:P01574 IFNB1
Proteins,P53779,UniProt:P53779 MAPK10
Proteins,P45983,UniProt:P45983 MAPK8
Proteins,P45984,UniProt:P45984 MAPK9
Proteins,Q16539,UniProt:Q16539 MAPK14
Proteins,Q15759,UniProt:Q15759 MAPK11
Proteins,Q16644,UniProt:Q16644 MAPKAPK3
Proteins,P49137,UniProt:P49137 MAPKAPK2
Proteins,Q8IW41,UniProt:Q8IW41 MAPKAPK5
Proteins,Q15022,UniProt:Q15022 SUZ12
Proteins,O14733,UniProt:O14733 MAP2K7
Proteins,P45985,UniProt:P45985 MAP2K4
Proteins,P35226,UniProt:P35226 BMI1
Proteins,Q96GD3-2,UniProt:Q96GD3-2 SCMH1
Proteins,Q99496,UniProt:Q99496 RNF2
Proteins,Q06587,UniProt:Q06587 RING1
Proteins,P78364,UniProt:P78364 PHC1
Proteins,Q8NDX5,UniProt:Q8NDX5 PHC3
Proteins,Q8IXK0,UniProt:Q8IXK0 PHC2
Proteins,Q14781,UniProt:Q14781 CBX2
Proteins,Q9HC52,UniProt:Q9HC52 CBX8
Proteins,O00257,UniProt:O00257 CBX4
Proteins,O95503,UniProt:O95503 CBX6
Proteins,Q16576,UniProt:Q16576 RBBP7
Proteins,Q09028,UniProt:Q09028 RBBP4
Proteins,Q99683,UniProt:Q99683 MAP3K5
Proteins,P10599,UniProt:P10599 TXN
