Top 100 Degree,Valida,OutPut,,Top 100 BottleNeck,Valida,OutPut,,UNIFICADO,,https://www.youtube.com/watch?v=Bk6O5Hud1bQ
CDK6,Degree,No esta en BottleNeck,,HMGA2,BottleNeck,No esta en Degree,,CDK6,,
CEBPB,Degree,No esta en BottleNeck,,RNF2,BottleNeck,Degree,,CEBPB,,
AGO1,Degree,No esta en BottleNeck,,HMGA1,BottleNeck,No esta en Degree,,ago-01,,
RBBP7,Degree,No esta en BottleNeck,,VENTX,BottleNeck,No esta en Degree,,RBBP7,,
H2AB1,Degree,No esta en BottleNeck,,RASSF5,BottleNeck,No esta en Degree,,H2AB1,,
CBX8,Degree,No esta en BottleNeck,,H1-5,BottleNeck,No esta en Degree,,CBX8,,
CBX2,Degree,No esta en BottleNeck,,H1-1,BottleNeck,No esta en Degree,,CBX2,,
CHEK1,Degree,No esta en BottleNeck,,AKT3,BottleNeck,No esta en Degree,,CHEK1,,
PHC3,Degree,BottleNeck,,H1-4,BottleNeck,No esta en Degree,,PHC3,,
CBX4,Degree,No esta en BottleNeck,,AGO3,BottleNeck,Degree,,CBX4,,
AGO3,Degree,No esta en BottleNeck,,RAD9A,BottleNeck,No esta en Degree,,ago-03,,
PHC1,Degree,BottleNeck,,CBX6,BottleNeck,No esta en Degree,,PHC1,,
AGO4,Degree,No esta en BottleNeck,,H1-3,BottleNeck,No esta en Degree,,ago-04,,
MTOR,Degree,No esta en BottleNeck,,TFDP2,BottleNeck,No esta en Degree,,MTOR,,
TNRC6C,Degree,No esta en BottleNeck,,H1-2,BottleNeck,No esta en Degree,,TNRC6C,,
MOV10,Degree,No esta en BottleNeck,,PHC3,BottleNeck,Degree,,MOV10,,
TNRC6B,Degree,No esta en BottleNeck,,MCU,BottleNeck,No esta en Degree,,TNRC6B,,
TNRC6A,Degree,No esta en BottleNeck,,MAPK1,BottleNeck,Degree,,TNRC6A,,
CDC25A,Degree,No esta en BottleNeck,,VDAC2,BottleNeck,No esta en Degree,,CDC25A,,
KDM6B,Degree,No esta en BottleNeck,,CDKN2D,BottleNeck,No esta en Degree,,KDM6B,,
PHC2,Degree,No esta en BottleNeck,,TSC2,BottleNeck,No esta en Degree,,PHC2,,
UBE2C,Degree,No esta en BottleNeck,,VDAC3,BottleNeck,No esta en Degree,,UBE2C,,
EED,Degree,No esta en BottleNeck,,EP400,BottleNeck,No esta en Degree,,EED,,
TGFB1,Degree,BottleNeck,,TGFB1,BottleNeck,Degree,,TGFB1,,
CDC27,Degree,No esta en BottleNeck,,PHC1,BottleNeck,Degree,,CDC27,,
EHMT1,Degree,No esta en BottleNeck,,SERPINE1,BottleNeck,No esta en Degree,,EHMT1,,
KAT5,Degree,No esta en BottleNeck,,H1-0,BottleNeck,Degree,,KAT5,,
H1-0,Degree,No esta en BottleNeck,,ETS1,BottleNeck,No esta en Degree,,H1-0,,
SMAD2,Degree,No esta en BottleNeck,,NFKB1,BottleNeck,Degree,,SMAD2,,
PIK3CA,Degree,No esta en BottleNeck,,MAPKAPK3,BottleNeck,No esta en Degree,,PIK3CA,,
TFDP1,Degree,No esta en BottleNeck,,CDKN1B,BottleNeck,Degree,,TFDP1,,
FZR1,Degree,No esta en BottleNeck,,RING1,BottleNeck,Degree,,FZR1,,
FOXO1,Degree,No esta en BottleNeck,,H3C15,BottleNeck,No esta en Degree,,FOXO1,,
SP1,Degree,No esta en BottleNeck,,H4C1,BottleNeck,No esta en Degree,,SP1,,
MAP2K1,Degree,No esta en BottleNeck,,TGFB3,BottleNeck,No esta en Degree,,MAP2K1,,
,,,,,,,,VDAC1,,
,,,,,,,,PIK3CB,,
,,,,,,,,MAPKAPK2,,
,,,,,,,,SLC25A4,,
,,,,,,,,TRPV4,,
,,,,,,,,HIPK3,,
,,,,,,,,ANAPC1,,
,,,,,,,,HLA-G,,
,,,,,,,,DNAJC7,,
,,,,,,,,UBE2D1,,
,,,,,,,,TXN,,
,,,,,,,,MAP2K6,,
,,,,,,,,PPP1CB,,
,,,,,,,,SLC25A5,,
,,,,,,,,CDC16,,
,,,,,,,,SLC25A6,,
,,,,,,,,MAP2K7,,
,,,,,,,,ANAPC11,,
,,,,,,,,MAPK9,,
,,,,,,,,RAF1,,
,,,,,,,,MAP2K4,,
,,,,,,,,EIF4EBP1,,
,,,,,,,,CACNA1D,,
,,,,,,,,CCNE2,,
,,,,,,,,CAPN1,,
,,,,,,,,ETS2,,
,,,,,,,,GATA4,,
,,,,,,,,E2F2,,
,,,,,,,,ZFP36L2,,
,,,,,,,,CAPN2,,
,,,,,,,,HMGA2,,
,,,,,,,,HMGA1,,
,,,,,,,,VENTX,,
,,,,,,,,RASSF5,,
,,,,,,,,H1-5,,
,,,,,,,,H1-1,,
,,,,,,,,AKT3,,
,,,,,,,,H1-4,,
,,,,,,,,RAD9A,,
,,,,,,,,CBX6,,
,,,,,,,,H1-3,,
,,,,,,,,TFDP2,,
,,,,,,,,H1-2,,
,,,,,,,,MCU,,
,,,,,,,,VDAC2,,
,,,,,,,,CDKN2D,,
,,,,,,,,TSC2,,
,,,,,,,,VDAC3,,
,,,,,,,,EP400,,
,,,,,,,,SERPINE1,,
,,,,,,,,ETS1,,
,,,,,,,,MAPKAPK3,,
,,,,,,,,H3C15,,
,,,,,,,,H4C1,,
,,,,,,,,TGFB3,,
